admin2_name,admin1_name,admin2_pcode,worldpop_raster_nodata,worldpop_raw_sum,worldpop_clean_sum,worldpop_negative_cell_count,worldpop_valid_cell_count
Magarini,Kilifi,KE003017,-99999.0,274994.3404800895,274994.3404800895,0,90703
Makadara,Nairobi,KE047287,-99999.0,231330.65887279809,231330.65887279809,0,1388
Makueni,Makueni,KE017086,-99999.0,284511.1331099228,284511.1331099228,0,206044
Malava,Kakamega,KE037201,-99999.0,267762.59885566053,267762.59885566053,0,48381
Malindi,Kilifi,KE003016,-99999.0,259288.45039223653,259288.45039223653,0,26993
Mandera East,Mandera,KE009043,-99999.0,190267.7670103456,190267.7670103456,0,18279
Mandera North,Mandera,KE009041,-99999.0,194514.29445674038,194514.29445674038,0,13926
Mandera South,Mandera,KE009042,-99999.0,265189.9982315153,265189.9982315153,0,16538
Mandera West,Mandera,KE009039,-99999.0,126303.41023708985,126303.41023708985,0,11212
Manyatta,Embu,KE014063,-99999.0,205260.71462561915,205260.71462561915,0,26384
Maragwa,Murang'a,KE021108,-99999.0,239967.94223634008,239967.94223634008,0,43665
Marakwet East,Elgeyo-Marakwet,KE028147,-99999.0,113310.15146504558,113310.15146504558,0,30974
Marakwet West,Elgeyo-Marakwet,KE028148,-99999.0,160779.77572096803,160779.77572096803,0,53741
Masinga,Machakos,KE016075,-99999.0,169758.50899889923,169758.50899889923,0,128723
Matayos,Busia,KE040228,-99999.0,188637.0111080442,188637.0111080442,0,21056
Mathare,Nairobi,KE047290,-99999.0,146676.78031378984,146676.78031378984,0,334
Mathioya,Murang'a,KE021105,-99999.0,121193.20536201511,121193.20536201511,0,25657
Mathira,Nyeri,KE019096,-99999.0,170532.944829044,170532.944829044,0,30087
Matuga,Kwale,KE002009,-99999.0,241132.80199353816,241132.80199353816,0,81205
Matungu,Kakamega,KE037206,-99999.0,194932.0312694988,194932.0312694988,0,30371
Matungulu,Machakos,KE016078,-99999.0,193919.7997025809,193919.7997025809,0,57148
Mavoko,Machakos,KE016080,-99999.0,555696.1425634951,555696.1425634951,0,60690
Mbooni,Makueni,KE017083,-99999.0,230020.47232720457,230020.47232720457,0,106292
Mogotio,Baringo,KE030161,-99999.0,117329.08379343411,117329.08379343411,0,81277
Moiben,Uasin Gishu,KE027143,-99999.0,232033.0856301608,232033.0856301608,0,73909
Molo,Nakuru,KE032166,-99999.0,183409.79934088266,183409.79934088266,0,38923
Mosop,Nandi,KE029156,-99999.0,193576.253319079,193576.253319079,0,61699
Moyale,Marsabit,KE010045,-99999.0,183789.97858509354,183789.97858509354,0,18155
